osmid,highway,oneway,ref,reversed,length,geometry,lanes,maxspeed,name,junction,bridge,access,width
35473120,trunk,True,65,False,44.04753945016661,"LINESTRING (34.9430056 32.4481532, 34.9432613 32.447821)",,,,,,,
34006629,trunk_link,True,,False,62.45115360780323,"LINESTRING (34.9430056 32.4481532, 34.9430487 32.4480534, 34.943068 32.4479482, 34.9430636 32.4478697, 34.9430393 32.4477963, 34.9429878 32.4477261, 34.9428849 32.447656)",,,,,,,
5085613,motorway_link,True,,False,274.9310886203624,"LINESTRING (34.8980325 32.4689383, 34.8983161 32.4694276, 34.8984605 32.4696657, 34.8985969 32.4698564, 34.8987375 32.4700169, 34.8989153 32.4701779, 34.8990842 32.470304, 34.8992467 32.4704001, 34.899436 32.4704852, 34.8996427 32.4705566, 34.899976 32.4706312)",,,,,,,
18883860,motorway,True,2,False,367.86299176265635,"LINESTRING (34.8980325 32.4689383, 34.8983878 32.4698658, 34.8984867 32.4700846, 34.898594 32.4702881, 34.8987022 32.4704651, 34.8990547 32.4710684, 34.8991823 32.4712494, 34.8993745 32.4714958, 34.8995815 32.4717302, 34.8997295 32.4718953)",2,100,כביש החוף,,,,
206367051,trunk,True,65,False,21.182688252625773,"LINESTRING (34.9128479 32.4650461, 34.9130627 32.4649874)",2,,,,,,
348999224,trunk_link,True,,False,13.421737002457833,"LINESTRING (34.9128479 32.4650461, 34.9128826 32.4651632)",2,,,,,,
311765559,trunk,True,4,False,48.03332272526483,"LINESTRING (34.9068997 32.4556814, 34.9069748 32.4552541)",2,,כביש חיפה רעננה,,,,
122011648,trunk_link,True,,False,70.06303180283308,"LINESTRING (34.9068997 32.4556814, 34.90688 32.4555356, 34.9068611 32.4554651, 34.906835 32.4554076, 34.9067902 32.4553563, 34.9067215 32.455294, 34.9066615 32.455244, 34.9065348 32.4551709)",1,,,,,,
33924123,trunk_link,True,,False,47.80759789739508,"LINESTRING (34.9123505 32.4651967, 34.9124326 32.4651379, 34.9124873 32.4650803, 34.912516 32.4650241, 34.9125316 32.4649767, 34.9125408 32.4649248, 34.9125425 32.4648739, 34.9125333 32.464823)",,,,,,,
1381196357,trunk,True,65,False,39.73469591054881,"LINESTRING (34.9123505 32.4651967, 34.9126301 32.4651135, 34.9127499 32.4650778)",2,90,,,,,
24873712,secondary,True,,False,168.9262108956806,"LINESTRING (34.9325612 32.4413948, 34.9330734 32.4418209, 34.9332334 32.4419555, 34.9335413 32.442206, 34.9336215 32.4422649, 34.9336862 32.4423056, 34.9338128 32.4423807, 34.9338472 32.4423926, 34.9338922 32.4424076)",,50,"צה""ל",,,,
238740231,secondary,True,,False,9.489692214976305,"LINESTRING (34.9325612 32.4413948, 34.9325379 32.4414154, 34.9325106 32.4414321, 34.9324802 32.4414443)",,,,roundabout,,,
"[886871152, 24873711]",secondary,True,,False,274.51882660184714,"LINESTRING (34.9322479 32.4412337, 34.9320685 32.4410938, 34.9317767 32.4408403, 34.9310385 32.4402391, 34.9305843 32.4398334, 34.9304594 32.4397324, 34.9302677 32.4395763, 34.9301659 32.4395006)",2,50,"צה""ל",,,,
238740231,secondary,True,,False,15.25747588671465,"LINESTRING (34.9322479 32.4412337, 34.9322686 32.4412042, 34.9322965 32.4411792, 34.9323301 32.44116, 34.932368 32.4411475)",,,,roundabout,,,
238740231,secondary,True,,False,43.31060290021185,"LINESTRING (34.932368 32.4411475, 34.9324117 32.4411421, 34.9324557 32.4411457, 34.9324975 32.441158, 34.9325373 32.4411802, 34.9325691 32.4412104, 34.9325906 32.4412464, 34.9326005 32.4412859, 34.932598 32.4413261, 34.9325834 32.4413645, 34.9325612 32.4413948)",,,,roundabout,,,
24873698,secondary,True,,False,15.704249404621535,"LINESTRING (34.9271237 32.4378497, 34.9271595 32.4378315, 34.9272001 32.4378229, 34.9272419 32.4378249, 34.9272811 32.4378372)",1,50,כיכר התשעה,roundabout,,,
24873710,secondary,True,,False,226.83361101081925,"LINESTRING (34.9273525 32.4379538, 34.9294592 32.4389539)",2,50,"צה""ל",,,,
24873698,secondary,True,,False,10.101851376344342,"LINESTRING (34.9273525 32.4379538, 34.927344 32.4379832, 34.9273269 32.4380098, 34.9273023 32.4380319)",1,50,כיכר התשעה,roundabout,,,
24873698,secondary,True,,False,10.6043388174574,"LINESTRING (34.9273023 32.4380319, 34.9272703 32.4380487, 34.9272342 32.4380576, 34.9271965 32.438058)",1,50,כיכר התשעה,roundabout,,,
24873698,secondary,True,,False,19.915220661690068,"LINESTRING (34.9271965 32.438058, 34.9271556 32.4380484, 34.92712 32.4380289, 34.927093 32.4380013, 34.927077 32.4379681, 34.9270735 32.4379324)",1,50,כיכר התשעה,roundabout,,,
51385046,tertiary,False,,True,151.75199990896027,"LINESTRING (34.9271965 32.438058, 34.9271343 32.4381196, 34.9270997 32.4382135, 34.9270913 32.4383651, 34.9274165 32.4393617)",,,ירושלים,,,,
24873698,secondary,True,,False,10.584102208136814,"LINESTRING (34.9270735 32.4379324, 34.9270812 32.4379013, 34.9270983 32.4378731, 34.9271237 32.4378497)",1,50,כיכר התשעה,roundabout,,,
24873709,secondary,True,,False,117.50715662509133,"LINESTRING (34.9270735 32.4379324, 34.926974 32.4379191, 34.9268317 32.4379191, 34.926543 32.4379688, 34.9258597 32.4381449)",2,50,הנשיא,,,,
886839621,residential,True,,False,13.732181202200113,"LINESTRING (34.9216659 32.4391171, 34.9217079 32.4392354)",1,,שדרות רוטשילד,,,,
133057344,secondary,True,,False,174.63463570477995,"LINESTRING (34.9216659 32.4391171, 34.9218203 32.4390803, 34.9234516 32.4386752)",2,50,הנשיא,,,,
133081814,secondary,True,,False,162.96688290739485,"LINESTRING (34.9216401 32.4392541, 34.9199982 32.4397314)",2,50,הנשיא,,,,
886839624,residential,True,,False,13.748780012411396,"LINESTRING (34.9216401 32.4392541, 34.9215971 32.4391359)",1,,שדרות רוטשילד,,,,
24873703,tertiary,True,,False,162.5433319448169,"LINESTRING (34.9169931 32.4371944, 34.9153404 32.4376317)",2,,הרברט סמואל,,,,
24873701,tertiary,True,,False,9.028551537243768,"LINESTRING (34.9169931 32.4371944, 34.9169741 32.4371726, 34.9169626 32.4371473, 34.9169594 32.4371204)",,,,roundabout,,,
24873701,tertiary,True,,False,5.804180009258907,"LINESTRING (34.9169594 32.4371204, 34.9169678 32.4370864, 34.9169786 32.4370715)",,,,roundabout,,,
886839600,tertiary,True,,False,8.419739460620052,"LINESTRING (34.9137937 32.4378816, 34.9138807 32.4378631)",2,,הרברט סמואל,,,,
1381364297,residential,True,,False,20.668411088127193,"LINESTRING (34.9137937 32.4378816, 34.913753 32.4377588, 34.9137387 32.4377017)",1,,"רמב""ם",,,,
886839602,tertiary,True,,False,273.9205633207599,"LINESTRING (34.9138232 32.4379794, 34.910977 32.4385256)",2,,הרברט סמואל,,,,
886871073,residential,True,,False,11.221733128266067,"LINESTRING (34.9138232 32.4379794, 34.9137937 32.4378816)",1,,"רמב""ם",,,,
