osmid,highway,oneway,reversed,length,geometry,lanes,maxspeed,name,ref,junction,width,bridge,tunnel,access
33900377,motorway_link,True,False,270.61070251501644,"LINESTRING (34.7617412 32.0202856, 34.7614453 32.0216537, 34.7613287 32.0223302, 34.7612652 32.0226852)",,,,,,,,,
202344040,motorway,True,False,727.2298805611539,"LINESTRING (34.7617412 32.0202856, 34.761359 32.0215434, 34.7610639 32.0227118, 34.7609011 32.0235439, 34.760851 32.0237906, 34.7607853 32.0242945, 34.7607423 32.0249592, 34.7606686 32.026738)",3,70,איילון צפון,20,,,,,
50822578,residential,False,True,135.94066134524252,"LINESTRING (34.8027562 32.0189393, 34.8017294 32.0197976)",,,המשור,,,,,,
1214721418,secondary,True,False,45.12424133143325,"LINESTRING (34.8027562 32.0189393, 34.8025263 32.0186839, 34.8024548 32.018625)",3,,המלאכה,,,,,,
368328363,tertiary,True,False,13.71762987403318,"LINESTRING (34.8021441 32.0183086, 34.8022671 32.0182427)",,,הפלד,,,,,,
"[1214721419, 1214721420]",secondary,True,False,112.2133494793792,"LINESTRING (34.8021441 32.0183086, 34.8020486 32.0180964, 34.8019841 32.0179092, 34.8019071 32.0176909, 34.801862 32.0175532, 34.8017764 32.0173495)","['3', '2']",,המלאכה,,,,,,
1214721418,secondary,True,False,35.83095023193453,"LINESTRING (34.8024548 32.018625, 34.8022067 32.0183809)",3,,המלאכה,,,,,,
139008975,secondary_link,True,False,40.93661116132317,"LINESTRING (34.8024548 32.018625, 34.8022352 32.0185418, 34.8021645 32.0185313, 34.8020427 32.0185355)",,,,,,,,,
50822577,residential,False,False,12.858061212395235,"LINESTRING (34.8003481 32.0157174, 34.80046 32.0156513)",,,הנחושת,,,,,,
50822577,residential,False,True,21.95627648090463,"LINESTRING (34.8003481 32.0157174, 34.8001687 32.0158433)",,,הנחושת,,,,,,
109864749,secondary,True,False,21.999743196716,"LINESTRING (34.8003481 32.0157174, 34.8001954 32.0155678)",2,,המלאכה,,,,,,
51406510,secondary,True,False,14.560296866749484,"LINESTRING (34.792249 32.0100332, 34.7924026 32.0100197)",,,אלופי צהל,,,,,,
110098361,tertiary,True,False,159.96409961449743,"LINESTRING (34.792249 32.0100332, 34.7921521 32.0091126, 34.7921226 32.0087305, 34.7920984 32.0086007)",,,משה שרת,,,,,,
25999427,tertiary,True,False,7.586324890242367,"LINESTRING (34.790882 32.0085963, 34.7908552 32.0085947, 34.7908302 32.0085865, 34.7908092 32.0085724)",,,,,roundabout,,,,
"[32017355, 25999428]",residential,False,False,211.9245978741312,"LINESTRING (34.790882 32.0085963, 34.7909741 32.0094548, 34.7902925 32.0094909, 34.7897455 32.0095199)",,,"['גבעת התחמושת', 'שער ציון']",,,,,,
110098361,tertiary,True,False,114.05191076045199,"LINESTRING (34.7925938 32.0112549, 34.7924496 32.010964, 34.7924175 32.010855, 34.7923648 32.0106765, 34.7923323 32.0105121, 34.7922842 32.0102684)",,,משה שרת,,,,,,
145240249,tertiary,True,False,12.478406830551782,"LINESTRING (34.7925938 32.0112549, 34.792631 32.0112234, 34.7926786 32.0112045, 34.7927054 32.0112005)",1,,,,roundabout,,,,
182823406,residential,False,True,91.03520974012908,"LINESTRING (34.7832987 32.0130313, 34.783359 32.0138484)",,,גאולים,,,,,,
30715816,residential,True,False,20.68031305274255,"LINESTRING (34.7832987 32.0130313, 34.7832645 32.0130213, 34.7832359 32.0130024, 34.783216 32.0129768, 34.7832069 32.0129471, 34.7832095 32.0129165, 34.7832249 32.0128867)",,,,,roundabout,,,,
30715816,residential,True,False,11.557382944712765,"LINESTRING (34.7833164 32.0128447, 34.7833468 32.0128481, 34.7833749 32.0128584, 34.7833986 32.0128748, 34.7834161 32.0128962)",,,,,roundabout,,,,
30715268,tertiary,False,True,98.67610060859705,"LINESTRING (34.7909653 32.0085224, 34.7920091 32.0084585)",,,קרן היסוד,,,,,,
25999427,tertiary,True,False,12.323968404640326,"LINESTRING (34.7909653 32.0085224, 34.7909534 32.008558, 34.7909233 32.0085847, 34.790882 32.0085963)",,,,,roundabout,,,,
25999427,tertiary,True,False,13.980673103407945,"LINESTRING (34.7908708 32.0084435, 34.7909002 32.0084464, 34.790927 32.0084573, 34.7909481 32.008475, 34.7909613 32.0084975, 34.7909653 32.0085224)",,,,,roundabout,,,,
50823041,residential,False,True,133.79484630305282,"LINESTRING (34.7908708 32.0084435, 34.790845 32.0078736, 34.7908246 32.0075806, 34.7908156 32.0075391, 34.7907521 32.0072468)",,,גבעת התחמושת,,,,,,
1266720072,motorway_link,True,False,88.60042380586187,"LINESTRING (34.762397 32.0151522, 34.7623989 32.015949)",,,,,,,,,
"[283787769, 283787770]",secondary,True,False,144.04564425682673,"LINESTRING (34.7629278 32.014877, 34.7634522 32.0147721, 34.7635199 32.0147568, 34.7641809 32.0145936, 34.7644064 32.0145532)",3,,יוספטל,,,,,,
33900138,motorway_link,True,False,18.83440119010129,"LINESTRING (34.7623908 32.0149829, 34.762397 32.0151522)",,,,,,,,,
283787770,secondary,True,False,51.981541748889576,"LINESTRING (34.7623908 32.0149829, 34.7629278 32.014877)",3,,יוספטל,,,,,,
"[175566928, 175566948]",trunk_link,True,False,309.527951237112,"LINESTRING (34.81251 32.0108262, 34.8125022 32.0106955, 34.812521 32.010524, 34.8125411 32.0104232, 34.8125679 32.0103095, 34.8126038 32.0101974, 34.8126484 32.0100821, 34.8126897 32.0099927, 34.8127755 32.009838, 34.8130561 32.0093315, 34.813099 32.009236, 34.8131365 32.0091359, 34.8131617 32.0090465, 34.8131741 32.0089403, 34.8131687 32.0088539, 34.8131521 32.0087513, 34.8131349 32.0086417, 34.8131043 32.0085218, 34.8129726 32.00817)","['1', '2']",,,,,,,,
"[48770544, 175566936, 175566949]",trunk_link,True,False,414.8476832588063,"LINESTRING (34.8129726 32.00817, 34.8128919 32.0080333, 34.8128222 32.0079105, 34.8127269 32.0077421, 34.812621 32.0075522, 34.8125081 32.0073787, 34.8122844 32.0070971, 34.8120776 32.006849, 34.8119333 32.0067011, 34.8116232 32.0064282, 34.8102872 32.005253)","['3', '2']",,,,,,,,
28941844,secondary,True,False,109.99010962021397,"LINESTRING (34.7605686 32.0362423, 34.760623 32.0362993, 34.7606924 32.0363435, 34.7607675 32.0363753, 34.7608737 32.0364026, 34.7609847 32.0364249, 34.7613959 32.0364954, 34.7615158 32.0365069, 34.7615265 32.0365079, 34.7616593 32.0365204)",3,,הלוחמים,,,,,,
"[183036808, 183036809, 28959434, 183036806]",motorway_link,True,False,343.3571443585516,"LINESTRING (34.7598369 32.0329952, 34.7598712 32.033649, 34.7599029 32.034011, 34.7599329 32.0341932, 34.7599697 32.0344321, 34.7600145 32.034632, 34.7603953 32.0358538, 34.7604659 32.0360218)","['3', '1', '4', '2']",,,,,,,,
44651019,residential,True,False,23.310477155309453,"LINESTRING (34.7553663 32.0021138, 34.7553827 32.0021622, 34.7554345 32.0023153)",,,,,,,,,
175566968,trunk,True,False,109.15784607131947,"LINESTRING (34.8099704 32.0163069, 34.8105931 32.0154793)",4,70,השבעה,44,,,,,
"[658694343, 1214716319]",trunk_link,True,False,196.02185899373737,"LINESTRING (34.8099704 32.0163069, 34.8100459 32.0161134, 34.8100443 32.0159941, 34.8100207 32.0159182, 34.8099668 32.0158603, 34.8098704 32.0157714, 34.809711 32.0156621, 34.8093793 32.0153807, 34.8089668 32.0148993)","['1', '3']",,,,,,,,
