osmid,highway,name,oneway,reversed,length,geometry,lanes,ref,maxspeed,junction,width,access,bridge
33900333,tertiary,שדרות מנחם בגין,True,False,160.46198675853998,"LINESTRING (34.882244 32.0365547, 34.8814829 32.0352639)",,,,,,,
33900356,residential,פרחי בר,False,True,129.98447518817036,"LINESTRING (34.882244 32.0365547, 34.8809685 32.036999)",,,,,,,
33900365,residential,מבוא ערבה,False,False,10.122474807629462,"LINESTRING (34.882244 32.0365547, 34.8823397 32.0365134)",,,,,,,
33900356,residential,פרחי בר,False,False,129.98447518817036,"LINESTRING (34.8809685 32.036999, 34.882244 32.0365547)",,,,,,,
98870016,residential,מבוא הרדוף,False,True,70.88829218229148,"LINESTRING (34.8809685 32.036999, 34.8815831 32.0373664)",,,,,,,
240599053,residential,מבוא זהבית,False,True,48.888236163253666,"LINESTRING (34.8809685 32.036999, 34.88055 32.0367393)",,,,,,,
33900365,residential,מבוא ערבה,False,True,50.094624078945486,"LINESTRING (34.8828152 32.0363122, 34.8823397 32.0365134)",,,,,,,
240601380,residential,ארבעת המינים,False,False,61.187003868464636,"LINESTRING (34.8828152 32.0363122, 34.8827435 32.0357653)",,,,,,,
98870017,residential,מבוא לולב,False,True,129.35890053165724,"LINESTRING (34.8828152 32.0363122, 34.8828741 32.0366767, 34.8829291 32.0368248, 34.8832761 32.0373934)",,,,,,,
184655411,primary_link,,True,False,40.10616870772258,"LINESTRING (34.8934463 32.0262157, 34.8936144 32.0261419, 34.8936714 32.0260923, 34.8937281 32.0259705)",,,,,,,
"[505237408, 1175798902]",primary,דרך לוד,True,False,64.85334491824679,"LINESTRING (34.8934463 32.0262157, 34.8937635 32.0261744, 34.8941269 32.0261308)",2,461,,,,,
1312960834,tertiary,שדרות מנחם בגין,True,False,127.7007230435931,"LINESTRING (34.8803429 32.0273648, 34.8803715 32.0274222, 34.8805586 32.0277981, 34.8806612 32.0280475, 34.8808257 32.0284373)",2,,,,,,
1312960835,primary,דרך לוד,True,False,17.99358328279513,"LINESTRING (34.8803429 32.0273648, 34.8802712 32.0274182, 34.8801994 32.0274715)",4,461,,,,,
216750669,residential,,False,True,14.668368352349152,"LINESTRING (34.8705968 32.0336971, 34.8706252 32.0335674)",,,,,,,
216750669,residential,,False,False,53.9317026543146,"LINESTRING (34.8707425 32.0329426, 34.8707355 32.0329777, 34.8706476 32.0334209)",,,,,,,
216750669,residential,,False,True,53.980845852491015,"LINESTRING (34.8707425 32.0329426, 34.8708621 32.0325864, 34.8708678 32.0325559, 34.8708703 32.0325424, 34.8708833 32.0324727)",,,,,,,
256428328,residential,אלמוג,False,True,393.00940517186075,"LINESTRING (34.8707425 32.0329426, 34.8700514 32.0326556, 34.8698576 32.0325764, 34.8694653 32.0324319, 34.8693174 32.0323239, 34.8692263 32.0321636, 34.8691413 32.0319478, 34.8690068 32.0314743, 34.8689189 32.0308898, 34.8688311 32.030204)",,,,,,,
256428326,residential,פנינים,True,False,53.102861219757955,"LINESTRING (34.8688311 32.030204, 34.8693944 32.0302)",,,50,,,,
256428328,residential,אלמוג,False,False,393.00940517186075,"LINESTRING (34.8688311 32.030204, 34.8689189 32.0308898, 34.8690068 32.0314743, 34.8691413 32.0319478, 34.8692263 32.0321636, 34.8693174 32.0323239, 34.8694653 32.0324319, 34.8698576 32.0325764, 34.8700514 32.0326556, 34.8707425 32.0329426)",,,,,,,
42279336,living_street,ספיר,False,True,144.11813373486203,"LINESTRING (34.8700115 32.0285568, 34.8701815 32.0285803, 34.8706832 32.0286292, 34.8706912 32.0285507, 34.8710261 32.0285989, 34.8710212 32.0286918, 34.8712127 32.0286997, 34.8712267 32.0286008)",,,,,,,
42283692,residential,שנהב,False,True,71.14819677138763,"LINESTRING (34.8700115 32.0285568, 34.8700504 32.02859, 34.8700755 32.0286401, 34.8700012 32.0290833, 34.8699956 32.0291141, 34.8699848 32.0291732)",,,,,,,
42279179,residential,אלמוג,True,False,124.58044021681965,"LINESTRING (34.8687021 32.0290892, 34.8687741 32.0298209, 34.8688311 32.030204)",,,,,,,
42369886,residential,שנהב,True,False,355.02400932002496,"LINESTRING (34.8687021 32.0290892, 34.8683394 32.0290615, 34.8682278 32.0290544, 34.8681644 32.0290337, 34.8680998 32.0289708, 34.8680755 32.0288896, 34.8679306 32.028314, 34.8679277 32.0282853, 34.8679369 32.0282518, 34.8679662 32.028205, 34.8681209 32.0280881, 34.8681991 32.0280731, 34.8682639 32.0280689, 34.8683199 32.0280748, 34.8690036 32.0282596, 34.8700115 32.0285568)",,,,,,,
42283669,residential,ענבר,False,False,143.01376517774122,"LINESTRING (34.8726306 32.0314655, 34.8724856 32.0313468, 34.8724035 32.0313031, 34.8722983 32.031284, 34.8721862 32.0313074, 34.8719689 32.0313701, 34.8718499 32.0314401, 34.8717193 32.0314714, 34.8715232 32.0315125, 34.8712402 32.0314986)",,,,,,,
42279176,living_street,,False,False,98.18124751987186,"LINESTRING (34.8712402 32.0314986, 34.8709323 32.0323421)",,,,,,,
42283669,residential,ענבר,False,False,180.6627010006836,"LINESTRING (34.8712402 32.0314986, 34.8710384 32.031413, 34.8709015 32.0313313, 34.8707682 32.0312191, 34.8706961 32.0310915, 34.8706479 32.0310131, 34.870612 32.0308856, 34.8705212 32.0304819, 34.8704823 32.0301231)",,,,,,,
42283669,residential,ענבר,False,True,143.01376517774122,"LINESTRING (34.8712402 32.0314986, 34.8715232 32.0315125, 34.8717193 32.0314714, 34.8718499 32.0314401, 34.8719689 32.0313701, 34.8721862 32.0313074, 34.8722983 32.031284, 34.8724035 32.0313031, 34.8724856 32.0313468, 34.8726306 32.0314655)",,,,,,,
42283691,residential,שוהם,False,True,38.63185851646009,"LINESTRING (34.8699848 32.0291732, 34.869575 32.0291714)",,,50,,,,
42283691,residential,שוהם,False,False,108.90939651130819,"LINESTRING (34.8699848 32.0291732, 34.8703467 32.0291638, 34.8707796 32.0291525, 34.8711387 32.0291756)",,,50,,,,
42283692,residential,שנהב,False,False,71.14819677138762,"LINESTRING (34.8699848 32.0291732, 34.8699956 32.0291141, 34.8700012 32.0290833, 34.8700755 32.0286401, 34.8700504 32.02859, 34.8700115 32.0285568)",,,,,,,
42283691,residential,שוהם,False,True,112.11090161903623,"LINESTRING (34.8723226 32.0292713, 34.8711387 32.0291756)",,,50,,,,
42283691,residential,שוהם,False,False,92.9349620234459,"LINESTRING (34.8723226 32.0292713, 34.8727933 32.0292952, 34.8731697 32.0292894, 34.8733071 32.02928)",,,50,,,,
42283693,residential,תרשיש,False,True,135.33186607988281,"LINESTRING (34.8723226 32.0292713, 34.8723756 32.0287893, 34.8715139 32.0287295)",,,,,,,
42283693,residential,תרשיש,False,False,135.33186607988281,"LINESTRING (34.8715139 32.0287295, 34.8723756 32.0287893, 34.8723226 32.0292713)",,,,,,,
42283669,residential,ענבר,False,True,180.66270100068357,"LINESTRING (34.8704823 32.0301231, 34.8705212 32.0304819, 34.870612 32.0308856, 34.8706479 32.0310131, 34.8706961 32.0310915, 34.8707682 32.0312191, 34.8709015 32.0313313, 34.8710384 32.031413, 34.8712402 32.0314986)",,,,,,,
42283690,residential,פנינים,False,False,103.09379945124869,"LINESTRING (34.8704823 32.0301231, 34.8695052 32.0301752, 34.8693944 32.0302)",,,50,,,,
42283690,residential,פנינים,False,True,383.3127821694511,"LINESTRING (34.8704823 32.0301231, 34.8707591 32.0301216, 34.8710734 32.0301389, 34.8721334 32.03023, 34.8726766 32.0302765, 34.8730142 32.0302808, 34.8731557 32.0302739, 34.8733752 32.0302473, 34.8734909 32.0301969, 34.8735796 32.030126, 34.8736183 32.0300773, 34.8736427 32.0299725, 34.8736406 32.0298654, 34.8736357 32.029771, 34.8735513 32.0294845, 34.8735197 32.0293986, 34.8735125 32.0293806)",,,50,,,,
42279177,residential,יהלום,False,False,85.5323825523623,"LINESTRING (34.8693944 32.0302, 34.8693718 32.0300967, 34.8693109 32.0295715, 34.8692862 32.0294367)",,,,,,,
42279177,residential,יהלום,False,True,316.29549855218687,"LINESTRING (34.8693944 32.0302, 34.8693969 32.0302905, 34.8694123 32.030598, 34.8694652 32.0309134, 34.8695 32.0310363, 34.8695735 32.0313072, 34.8695843 32.0313461, 34.8696361 32.0315344, 34.8697136 32.0317303, 34.8698097 32.0318608, 34.8699052 32.031982, 34.8700498 32.0320973, 34.8703322 32.0322975, 34.8704788 32.032366, 34.8706022 32.0324186, 34.8708833 32.0324727)",,,,,,,
42283690,residential,פנינים,False,True,103.09379945124869,"LINESTRING (34.8693944 32.0302, 34.8695052 32.0301752, 34.8704823 32.0301231)",,,50,,,,
34954454,primary,דרך לוד,True,False,25.455825808133397,"LINESTRING (34.8706252 32.0335674, 34.870895 32.0335772)",2,461,,,,,
216750669,residential,,False,False,14.668368352349152,"LINESTRING (34.8706252 32.0335674, 34.8705968 32.0336971)",,,,,,,
216750669,residential,,False,True,16.42635742990657,"LINESTRING (34.8706252 32.0335674, 34.8706476 32.0334209)",,,,,,,
1161768830,primary,דרך לוד,True,False,12.151982571816227,"LINESTRING (34.8988026 32.0254592, 34.898678 32.0254872)",2,461,,,,,
47709822,tertiary,אלטלף,True,False,102.44059182517634,"LINESTRING (34.8988026 32.0254592, 34.8988201 32.0256524, 34.8988391 32.0259221, 34.8988422 32.025974, 34.8988648 32.0263789)",,,,,,,
47709836,tertiary,,True,False,15.490612015848765,"LINESTRING (34.8971055 32.0280073, 34.8970984 32.0280417, 34.8970803 32.0280729, 34.8970527 32.0280986, 34.8970177 32.0281169)",,,,roundabout,,,
47709836,tertiary,,True,False,15.426915974511779,"LINESTRING (34.8969402 32.0278796, 34.8969946 32.0278823, 34.8970442 32.0279017, 34.8970819 32.0279351)",,,,roundabout,,,
47709930,unclassified,גירון אברהם,False,False,399.0163464137232,"LINESTRING (34.8969402 32.0278796, 34.8969631 32.0277971, 34.8968379 32.0269517, 34.8967934 32.0269178, 34.8967239 32.0269149, 34.8944048 32.0272053, 34.8937578 32.0272863)",,,,,,,
48773808,tertiary,מוהליבר,True,False,121.20836289580619,"LINESTRING (34.8970177 32.0281169, 34.8971803 32.0291982)",,,,,,,
47709836,tertiary,,True,False,8.876282717853773,"LINESTRING (34.8970177 32.0281169, 34.8969721 32.0281267, 34.8969251 32.0281239)",,,,roundabout,,,
702054394,primary,דרך לוד,True,False,8.298345963120944,"LINESTRING (34.8913337 32.0265419, 34.8912465 32.0265521)",2,461,,,,,
1239656698,tertiary,ויצמן,True,False,148.97914650267555,"LINESTRING (34.8913337 32.0265419, 34.8913816 32.0268533, 34.8913949 32.0269878, 34.8914149 32.027119, 34.8914382 32.0272298, 34.8914663 32.0273466, 34.8915643 32.0276535, 34.8915877 32.0277049, 34.8916204 32.0277564, 34.8916955 32.0278272)",,,50,,,,
505237408,primary,,True,False,204.95103575161056,"LINESTRING (34.8912811 32.0263818, 34.8934463 32.0262157)",2,461,,,,,
1239656698,tertiary,ויצמן,True,False,18.480032514991322,"LINESTRING (34.8912811 32.0263818, 34.8913337 32.0265419)",,,50,,,,
98871396,tertiary,,True,False,6.98504846870299,"LINESTRING (34.8918423 32.0291823, 34.8918073 32.0291719, 34.8917784 32.0291523)",,,,roundabout,,,
47710324,tertiary,שדרות מנחם בגין,True,False,296.1824518880326,"LINESTRING (34.8807352 32.030034, 34.8807793 32.029875, 34.880797 32.0295299, 34.8808023 32.0292884, 34.880797 32.0290303, 34.8807948 32.0289189, 34.8807852 32.0287743, 34.8807679 32.0286769, 34.8807411 32.0285723, 34.8807036 32.0284741, 34.8806746 32.0284059, 34.8806167 32.0282812, 34.8805427 32.0281321, 34.8803896 32.0278471, 34.8802256 32.0275232, 34.8801994 32.0274715)",,,,,,,
48421713,tertiary,,True,False,23.725185625495214,"LINESTRING (34.8807352 32.030034, 34.8807561 32.0300126, 34.8807772 32.0299967, 34.8808042 32.0299818, 34.8808685 32.0299637, 34.8809039 32.0299619, 34.8809451 32.0299667, 34.880958 32.0299705)",,,,roundabout,,,
48421713,tertiary,,True,False,9.211050931255361,"LINESTRING (34.8810657 32.0302185, 34.8810466 32.0302403, 34.8810227 32.0302598, 34.8809959 32.0302754)",,,,roundabout,,,
